i,lyrics
46,"가사
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야

스쳐지나간건가 뒤돌아보지만 그냥 사람들만 보이는거야

다와가는 집근처에서 괜히 핸드폰만 만지는거야

한번 연락해 볼까 용기내 보지만 그냥 내 마음만 아쉬운 거야



걷다가 보면 항상 이렇게 너를 바라만 보던 너를 기다린다고 말할까

지금 집앞에 계속 이렇게 너를 아쉬워 하다 너를 연락했다 할까



지나치는 꽃들 속에서 네 샴푸향만 보이는거야

스쳐지나간건가 뒤 돌아보지만 그냥 내 마음만 바빠진거야



걷다가 보면 항상 이렇게 너를 바라만 보던 너를 기다린다고 말할까

지금 집앞에 계속 이렇게 너를 아쉬워 하다 너를 연락했다 할까



어떤 계절이 너를 우연히라도 너를 마주치게 할까

난 이대로 아쉬워하다 너를 바라만 보던 너를

기다리면서 아무말 못하고 그리워만 할까



걷다가 보면 항상 이렇게 너를 바라만 보던 너를 생각한다고 말할까

지금 집앞에 기다리고 때론 지나치고 다시 기다리는

꽃이 피는 거리에 보고파라 이밤에

걷다가 보면 항상 이렇게 너를 아쉬워 하다 너를 기다린다고 말할까

지금 집앞에 계속 이렇게 너를 아쉬워 하다 너를 연락했다 할까"
47,"가사
며칠 밤을 생각해봤어
이대로 진짜 헤어지는 게 맞는지
우리 돌아섰던 날 동안 다 엉망이 됐어 
네가 곁에 없어서

힘들었겠지 나도 그런 것 같아 꼭
그렇다고 다들 이렇게 서로 놓진 않으니까

그냥 안아달란 말야
달라진 일상과 너마저 없는 하루가 상상이 안 돼
한순간에 처음으로 돌아갈 수는 없겠지만
너만 거기 있다면 함께 한다면 다 상관없어 
안아달란 말야

이기적이라는 거 알아
나를 더 이해해주기를 바랬어
못난 자존심을 앞세워 너의 한숨들을 
모른 척 지나갔어

이제 와서야 내 맘도 알 것 같다는 너
힘들었겠다는 그 말에 불쑥 눈물이 나와서

그냥 안아달란 말야
달라진 일상과 너마저 없는 하루가 상상이 안 돼
한순간에 처음으로 돌아갈 수는 없겠지만
너만 거기 있다면 함께 한다면 다 상관없어 
안아달란 말야

잡으려 할수록
더 멀리 가 버릴까 봐
가려다 멈췄다 돌아서서 흐르는
시간만 아까워서 안타까워

그냥 안아달란 말야
그냥 꽉 안고서 다른 상황이 우릴 다시 갈라놓아도
수많았던 걱정과 불안했던 내 삶에 너는
유일한 이유였다고 전부였다고 다 말하잖아 
알아달란 말야"
48,"가사
Savage love
Did somebody, did somebody
Break your heart?
Lookin' like an angel
But your savage love
When you kiss me
I know you don't give two fucks
But I still want that
If I woke up without you
I don't know what I would do
Thought I could be single forever 'till I met you
Usually don't be fallin', be fallin' fast
You gotta way of keeping me comin' back-to-back
I just found out the only reason that you lovin' me
Was to get back at your ex lover, but before you leave
Usually I would never, would never even care
Baby I know she creepin', I feel it in the air
Every night and every day
I try to make you stay
But your...
Savage love
Did somebody, did somebody
Break your heart?
Lookin' like an angel
But your savage love
When you kiss me
I know you don't give two fucks
But I still want that
Your savage love
Your savage la-la-love
Your savage la-la-love
You could use me
Cuz I still want that... (your savage)
사랑이란 어쩌면 순간의 감정의 나열
조건이 다들 붙지 난 뭘 사랑하는가
영원이라는 말은 어쩌면 모래성
잔잔한 파도 앞에 힘없이 무너져
Every night, every day
I'm swept away by the waves
Don't know what I'm thinking
Can’t get you outta my head
내가 두려운 게 그대이든 그때이든
불같이 사랑할래 그댈 지금
Every night and every day
I try to make you stay
But your...
Savage love
Did somebody, did somebody
Break your heart?
Lookin' like an angel
But your savage love
But when you kiss me
I know you don't give two fucks
But I still want that
Your savage love
Your savage la-la-love
Your savage la-la-love
You could use me
Cos I still want that your savage love
Your savage la-la-love
Your savage la-la-love
You could use me
Baby...
Savage love
Did somebody, did somebody
Break your heart?
Lookin' like an angel
But your savage love
But when you kiss me
I know you don't give two fucks
But I still want that
Your savage love (savage love)
Your savage la-la-love
Your savage la-la-love
Girl, you could use me
Cuz I still want that
Your savage love"
49,"가사
살아도 사는게 아니래 
너 없는 하늘에 창 없는 감옥같아서
웃어도 웃는게 아니래 
초라해 보이고 우는것 같아 보인대

사랑해도 말 못했던 나 내색조차 할 수 없던 나
나 잠이드는 순간 조차 그리웠었지

살다가 살다가 살다가 너 힘들 때 
나로 인한 슬픔으로 후련할 때까지
울다가 울다가 울다가 너 지칠 때 
정 힘들면 단 한번만 기억하겠니 나 살다가

웃어도 웃는게 아니래
초라해 보이고 우는 것 같아 보인대

사랑해도 말 못했던 나 내색조차 할 수 없던 나
나 잠이 드는 순간 조차 그리웠었지

살다가 살다가 살다가 너 힘들 때 
나로 인한 슬픔으로 후련할 때까지
울다가 울다가 울다가 너 지칠 때 
정 힘들면 단 한번만 기억하겠니

우리 마지못해 웃는거겠지
우리 마지못해 살아가겠지

내 곁에 있어도 나의 곁에 
있어도 눈물나니까

살다가 살다가 살다가 너 힘들 때 
나로 인한 슬픔으로 후련할 때까지
태워도 태워도 태워도 남았다면
남김없이 태워도 돼 후련할 때까지
나 살다가 
나 살다가"
50,"가사
Yeah 누가 뭐라든 My way
틈이 없는 My face
필터 없이 뱉은 말엔
No oh oh oh
유리 가면 속의 미소
가려 두려 씌운 베일마저
Lost oh oh oh

Ay You!
네 멋대로 분해해대 날
Ay You!
입맛대로 풀어대는 말
혀끝을 이리저리
You don't get it get it
Do you never get the keys to my lock

더 참신하게 상상력 좀 발휘해 봐
네가 쫓던 토르소를 부숴대 난
이미 너도 아는
One advice
I'll shoot the one advice

날 가둘수록 보란 듯 엇나가 잘 봐
끝을 보길 원한다면 자극해 봐
이건 너를 위한
One advice
Best take my own advice

쉼 없이 찍어대
넌 낙인 Like it
파도 파도 계속 이어지는 과오 Oh oh
이유도 모른 채로 다시 또
낮아져 내 맘의 채도 Oh oh

Ay You!
가십거릴 찾아 둘러싸
Ay You!
완성해 한 편의 잔혹사
귓가에 이리저리
You don't get it get it get it get it
Do you never get the keys to my lock

더 참신하게 상상력 좀 발휘해 봐
네가 쫓던 토르소를 부숴대 난
이미 너도 아는
One advice
I'll shoot the one advice

날 가둘수록 보란 듯 엇나가 잘 봐
끝을 보길 원한다면 자극해 봐
이건 너를 위한
One advice
Best take my own advice

Creepy해 네가 원한 Drama
시작되는 순간
또 비틀릴 뿐야
No no you're confused
왜 또 선을 넘어
너만 옳은 Voi-voice
나를 가둘 Corner

Floppy해
슬쩍 눈을 감아
굳이 귀를 막아
대지 않아 Oh 난
No no you're confused
너만 아는 Love ya
나를 위한 Voi-voice
쏟아내는 Loser oh

더 날카롭게 상상력 좀 발휘해 봐
네가 쫓던 토르소를 부숴대 난
이미 너도 아는
One advice
I'll shoot the one advice

날 가둘수록 보란 듯 엇나가 잘 봐
끝을 보길 원한다면 자극해 봐
이건 너를 위한
One advice
Best take my own advice

Best take my own advice"
51,"가사
Look around 둘러봐도 온통 짙은 푸른빛
까만 밤 마치 깊은 물에 잠수한 듯이
먹먹함 속에 너의 목소리만 뚜렷해
어쩌지

나에게 넌 달아나는 저 수평선 같지
눈앞에 너를 두고서도 나는 또다시
그리워 너는 파도처럼 나를 삼키지
어쩌지

Oh you and I
넌 아득한 나의 바다
난 너의 품에 빠져
You and I
너에게 가 닿고 싶어

I will dive into you you you
I will dive into you you you
I will dive into you

궁금해 네 맘 한가운데 나는 어딘지
표류해 모르는 채 한번 가보는 거지
막막해 가끔 이 마음의 끝은 어딜지
너인지

심각해 널 스치는 바람마저 질투해
네 뺨에 내려앉은 달빛도 annoying me
그보다 더 가까이 내가 곁에 있을래
가까이

Oh you and I
넌 유일한 나의 바다
난 너의 눈에 잠겨
You and I
그 안에 난 살고 싶어

I will dive into you you you
I will dive into you you you
I will dive into you

Swim down 두 눈앞이 파랗게
Swim down 네 안에서
난 꿈을 꿔 you you
I will dive into you

Sail 떠도는 바다 위의
whale 늘 바랬어 머물기를
매일 외로운 낮과 긴 밤을
나 찾아 헤맸던 건 너였음을
이제는 나 알 것 같애
네가 날 숨 쉬게 한단 걸 yea yea
너에게 너의 안에
너를 향해 가는 항해
I will dive I will dive
I will dive into you you you
 
I will dive into you you you
I will dive into you

Swim down 두 눈앞이 파랗게
Swim down 네 안에서
난 꿈을 꿔 you you
I will dive into you

You and I 나의 바다 포근한 품
I will dive into you"
52,"가사
I’m addicted
끊임없이
말을 걸어주는
나의 에스파
이런 교감,
너의 존잰 날
다른 차원으로
이끌었지

난 세상 중심에
You’re in the FLAT
내 모든 Action
어린 너의 힘을 키워

넌 언젠가부터 SYNK out
노이즈같이 보여
더 이상 못 찾겠어
널 유혹해 삼킨 건
Black Mamba

Ma Ma Ma Mamba
Woo oh-oh
Ma Ma Ma Mamba
Oh eh-o eh-o

넌 광야를 떠돌고 있어
(Aya ya ya ya ya ya)
나의 분신을 찾고 싶어
(Aya ya ya ya ya ya)
Hey Ma Mamba

I hate Ma Ma Ma Mamba
Hate Ma Ma Ma Mamba

I’m ejected
선함 만으론
너의 거대함을 이기지 못해
I’m exhausted
너의 존잰 모든
탐욕들을 먹고 자라 났지

에스파는 나야
둘이 될 수 없어
Monochrome to colors
이건 Evo, Evolution

Oh! 위험한 장난을 쳐
매혹적이지만 널
부정할 밖에
모든 걸 삼켜버릴
Black Mamba

Ma Ma Ma Mamba
Woo oh-oh
Ma Ma Ma Mamba
Oh eh-o eh-o

넌 광야를 떠돌고 있어
(Aya ya ya ya ya ya)
네게 맞서 난 질 수 없어
(Aya ya ya ya ya ya)
Hey Ma Mamba

거울 속의 나는 네가 아닐까?
일그러져버린 환영인 걸까?
다시 너와 연결될 수 있다면
너를 만나고 싶어 이제
모든 걸 삼켜버릴
Black Mamba

Ma Ma Ma Mamba
Woo oh-oh
Ma Ma Ma Mamba
Oh eh-o eh-o

넌 광야를 떠돌고 있어
(Aya ya ya ya ya ya)
네게 맞서 난 질 수 없어
(Aya ya ya ya ya ya)
Hey Ma Mamba"
53,"가사
going nonstop
말도 안 되잖아 그치 yayayaya
우린 서로가 모르는 게 없는 사인 걸
이토록 빤히 nanananana like nanananana
우리 사이 비밀 따위 있을 리 없는 걸
다 봤지 우린

hi hi weak body
like them burning and burn but 쉿
요즘 오늘 또 내일 매일 다른 아는 옷
이렇게 달라 보인다고 hoo
흑역사까지 전부 알고 있는 널
yeah 절대 그럴 리는 없어 난 never ever 그래야만 해

무인도에 어느 날 떨어진 거야
둘만 남게 됐다면 넌 어떨 것 같아
생각만 해도 무섭다 얼굴을 찌푸렸지만
너에겐 얘기 못 해 절대로

살짝 설렜어 난 oh nanananana
살짝 설렜어 난 oh nanananana
그럴 일 없지만 살짝 설렜어 난
nonstop nonstop nonstop nonstop nonstop
그럴 일 없지만 살짝 설렜어 난

요즘 나 너무 외로워 좀 이상해진 것 같아
너를 보면서 심장이 뛴 건
back it up pack it up 비켜 서 있어
두근거렸던 게 문제야
아냐 그게 대체 왜 죄야
선을 넘은 거야 fz 레이더
오르락내리락 여긴 friend zone

무인도에 어느 날 떨어진 거야
둘만 남게 됐다면 넌 어떨 것 같아
생각만 해도 무섭다 얼굴을 찌푸렸지만
너에겐 얘기 못 해 절대로

살짝 설렜어 난 oh nanananana
살짝 설렜어 난 oh nanananana
그럴 일 없지만 살짝 설렜어 난

I have to go to the bed by night
졸음이 오는 걸까 time 필요하지 않지 아마
머릿속은 이미 지름길이잖아
네가 원한다면 내가 뒤로 두 칸
Did you wanna twin spot nop 한 칸
유감인 척 하지 마 설레는 거 맞잖아

꽤나 혼란스러워 이러는 나도
누구보다 더 이럴 땐 너를 찾아갔지만
이 고민만큼은 네게 말할 수 없어
언제부턴가 널 보면
살짝 설렜어 난

살짝 설렜어 난 oh nanananana
살짝 설렜어 난 oh nanananana
그럴 일 없지만 살짝 설렜어 난
nonstop nonstop nonstop nonstop nonstop
그럴 일 없지만 살짝 설렜어 난
nonstop nonstop nonstop nonstop nonstop
넌 알 리 없지만 살짝 설렜어 난"
54,"가사
내가 바보 같아서 사랑한다 하지 못하는 건 아마도
만남 뒤에 기다리는 아픔에 슬픈 나날들이
두려워서인가 봐
만약에 내가 간다면 내가 다가간다면
넌 어떻게 생각할까 용기 낼 수 없고
만약에 네가 간다면 네가 떠나간다면
널 어떻게 보내야 할지 자꾸 겁이 나는 걸
내가 바보 같아서 바라볼 수밖에만 없는 건 아마도
외면할지도 모를 네 마음과 또 그래서
더 멀어질 사이가 될까 봐
정말 바보 같아서 사랑한다 하지 못하는 건 아마도
만남 뒤에 기다리는 아픔에 슬픈 나날들이
두려워서인가 봐
만약에 네가 온다면 네가 다가온다면
난 어떻게 해야만 할지 정말 알 수 없는 걸
내가 바보 같아서 바라볼 수밖에만 없는 건 아마도
외면할지도 모를 네 마음과
또 그래서 더 멀어질 사이가 될까 봐
정말 바보 같아서 사랑한다 하지 못하는 건 아마도
만남 뒤에 기다리는 아픔에
슬픈 나날들이 두려워서인가 봐
내가 바보 같아서 사랑한다 하지 못하는 건 아마도
만남 뒤에 기다리는 아픔에 슬픈 나날들이
두려워서인가 봐
두려워서인가 봐"
55,"가사
[Verse 1]
One touch and you got me stoned
Higher than I've ever known
You call the shots and I follow
Sunrise but the night's still young
No words, but we speak in tongues
If you let me, I might say too much

[Pre-Chorus]
Your touch blurred my vision
It's your world, and I'm just in it
Even sober I'm not thinkin' straight

[Chorus]
'Cause I'm off my face, in love with you
I'm out my head, so into you
And I don't know how you do it
But I'm forever ruined by you, ooh-ooh-ooh

[Verse 2]
Can't sleep 'cause I'm way too buzzed
Too late, now you're in my blood
I don't hate the way you keep me up

[Pre-Chorus]
Your touch blurred my vision
It's your world, and I'm just in it
Even sober I'm not thinkin' straight

[Chorus]
'Cause I'm off my face, in love with you
I'm out my head, so into you
And I don't know how you do it
But I'm forever ruined by you, ooh-ooh-ooh

[Bridge]
Ooh, ooh-ooh
Ooh-ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh
Ooh, ooh-ooh
Ooh-ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh

[Chorus]
'Cause I'm off my face, in love with you
I'm out my head, so into you
And I don't know how you do it
But I'm forever ruined by you, ooh-ooh-ooh
By you, ooh-ooh-ooh"
56,"가사
누구를 위해 누군가 
기도하고 있나 봐

숨죽여 쓴 사랑시가
낮게 들리는 듯해

너에게로 선명히 날아가
늦지 않게 자리에 닿기를

I’ll be there 홀로 걷는 너의 뒤에
Singing till the end 그치지 않을 이 노래
아주 잠시만 귀 기울여 봐
유난히 긴 밤을 걷는 널 위해 부를게

또 한 번 너의 세상에
별이 지고 있나 봐 

숨죽여 삼킨 눈물이
여기 흐르는 듯해

할 말을 잃어 고요한 마음에
기억처럼 들려오는 목소리

I’ll be there 홀로 걷는 너의 뒤에
Singing till the end 그치지 않을 이 노래
아주 커다란 숨을 쉬어 봐
소리 내 우는 법을 잊은 널 위해 부를게

(다시 걸어갈 수 있도록) 
부를게
(다시 사랑할 수 있도록)

Here i am 지켜봐 나를, 난 절대
Singing till the end 멈추지 않아 이 노래 
너의 긴 밤이 끝나는 그날 
고개를 들어 바라본 그곳에 있을게 "
57,"가사
[Verse 1]
I will always remember
The day you kissed my lips
Light as a feather
And it went just like this
No, it's never been better
Than the summer of 2002
We were only eleven
But acting like grownups
Like we are in the present
Drinking from plastic cups
Singing love is forever and ever
Well, I guess that was true

[Pre-Chorus]
Dancing on the hood in the middle of the woods 
On an old Mustang, where we sang 
Songs with all our childhoods friends
And it went like this, say

[Chorus]
Oops I got 99 problems singing bye, bye, bye
Hold up, if you wanna go and take a ride with me
Better hit me, baby, one more time
Paint a picture for you and me
Of the days when we were young
Singing at the top of both our lungs


[Verse 2]
Now we're under the covers
Fast forward to eighteen
We are more than lovers
Yeah, we are all we need
When we're holding each other
I'm taken back to 2002

[Pre-Chorus]
Dancing on the hood in the middle of the woods 
On an old Mustang, where we sang 
Songs with all our childhoods friends
And it went like this, say

[Chorus]
Oops I got 99 problems singing bye, bye, bye
Hold up, if you wanna go and take a ride with me
Better hit me, baby, one more time
Paint a picture for you and me
Of the days when we were young
Singing at the top of both our lungs
On the day we fell in love
On the day we fell in love

[Pre-Chorus]
Dancing on the hood in the middle of the woods 
On an old Mustang, where we sang 
Songs with all our childhoods friends
Oh, now


[Chorus]
Oops I got 99 problems singing bye, bye, bye
Hold up, if you wanna go and take a ride with me
Better hit me, baby, one more time
Paint a picture for you and me
Of the days when we were young
Singing at the top of both our lungs
On the day we fell in love
On the day we fell in love
On the day we fell in love
On the day we fell in love, love, love"
58,"가사
가을밤이 찾아와
그대를 비추고
또 나를 감싸네

눈을 감을 때마다
향기로운 네 맘이
내게 전해지네

너는 무슨 생각해
나란히 누워서
저 별을 바라볼 때면

나와 같은 마음인지는 몰라도
너와 함께 있는 이 순간이 난 소중해

나랑 같이 걸을래
혹시 내일은 뭐해
네가 부담되지 않는 날에
산책이라도 할래
그냥 날이 좋길래
너와 걷고 싶어져서
내일 많이 바쁘지 않으면 혹시 나랑 같이 걸을래

많이 어색한가 봐
자꾸 딴 델 보고
널 닮은 별만 바라봐
싱그럽게 불어오는 바람에
너와 함께 있는 이 순간이 난 소중해

나랑 같이 걸을래
혹시 내일은 뭐해
네가 부담되지 않는 날에
산책이라도 할래
그냥 날이 좋길래
너와 걷고 싶어져서
내일 많이 바쁘지 않으면 혹시 나랑 같이 걸을래

힘들어 보일 땐
내가 더 아파오고
속상한 마음만 커져
내가 곁에 있을게 항상
너의 편이 되어줄게
저 하늘의 별처럼

나랑 같이 걸을래
혹시 내일은 뭐해
네가 부담되지 않는 날에
산책이라도 할래
그냥 날이 좋길래
너와 걷고 싶어져서
내일 많이 바쁘지 않으면 혹시 나랑 같이 걸을래"
59,"가사
Ooh (Ooh)
Na-na, yeah

I saw you dancing in a crowded room (Uh)
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye

I don't know why I run away (Oh)
I make you cry when I run away (Oh)

Take me back 'cause I wanna stay
Save your tears for another

Save your tears for another day (Oh)
Save your tears for another day (Mm)

Met you once under a Pisces moon
I kept my distance 'cause I know that you
Don't like when I'm with nobody else
I couldn't help it, I put you through hell

I don't know why I run away, oh boy (Run away, oh yeah; oh)
I make you cry when I run away (Away, oh; oh)

Boy, take me back 'cause I wanna stay
Save your tears for another
I realize that it's much too late
And you deserve someone better

Save your tears for another day (Oh)
Save your tears for another day (Oh)

(Bum, bum, bum, bum, bum)
I don't know why I run away (Oh)
(Bum, bum, bum, bum, bum)
I make you cry when I run away (Save)

Save your tears for another day (Ooh; oh)
Ooh, girl, I said (Okay)
Save (Save) your (Your) tears for another day (Oh yeah, yeah; oh)

Save your tears for another day (Oh)
Save your tears for another day (Oh)
Save your tears for another day"
60,"가사
이윽고 내가 한눈에 너를 알아봤을 때
모든 건 분명 달라지고 있었어 
내 세상은 널 알기 전과 후로 나뉘어

니가 숨 쉬면 따스한 바람이 불어와
니가 웃으면 눈부신 햇살이 비춰

거기 있어줘서 그게 너라서
가끔 내 어깨에 가만히 기대주어서
나는 있잖아 정말 빈틈없이 행복해
너를 따라서 시간은 흐르고 멈춰

물끄러미 너를 들여다 보곤 해
그것 말고는 아무것도 할 수 없어서
너의 모든 순간 그게 나였으면 좋겠다
생각만 해도 가슴이 차올라 나는 온통 너로

보고 있으면 왠지 꿈처럼 아득한 것
몇 광년 동안 날 향해 날아온 별빛 또 지금의 너

*거기 있어줘서 그게 너라서
가끔 나에게 조용하게 안겨주어서
나는 있잖아 정말 남김없이 고마워
너를 따라서 시간은 흐르고 멈춰

물끄러미 너를 들여다보곤 해
너를 보는 게 나에게는 사랑이니까
너의 모든 순간 그게 나였으면 좋겠다
생각만 해도 가슴이 차올라 나는 온통 너로.
니 모든 순간 나였으면."
61,"가사
따스한 바람이 불어오는 날엔
포근한 미소로 나를 또 반겨주던
그대란 사람 설레는 이 맘
이렇게 난 너에게 빠졌나 봐

무심한 듯 곁을 지켜주던 그대
느껴본 적 없는 이런 설렘이
누군가를 짝사랑하는 마음인가 봐
그냥 아쉬움만 남는걸

이렇게 좋아해 본 적이 없어요
눈만 뜨면 그대가 참 보고 싶어요
오늘은 그대 내 곁에서 그저 머물러줘요
그리고 내 손잡아 주세요
꼭 안아 주세요

나를 데려다주던 그날 밤
문득 내게 건넨 그 한마디에
괜스레 얼굴이 붉어지고
조심스럽게 oh oh oh
그대에게 oh oh oh
사랑스러운 그대 귓가에 속삭여줄게요

사실 그대와 있던 모든 순간은
내게는 소중하고 너무나 고마워서
정말 아름다워요
조심스럽게 oh oh oh
그대에게 oh oh oh
사랑스러운 그대 귓가에 고백해볼게요

이렇게 좋아해 본 적이 없어요
눈만 뜨면 그대가 참 보고 싶어요
오늘은 그대 내 곁에서 그저 머물러줘요
그리고 내 손잡아 주세요
꼭 안아 주세요

부담스럽지 않게 다가가 볼게요
부디 날 미워하지 말아요
그저 매일 이렇게 날 보며 웃어줘요
더는 바랄 게 하나 없죠

이렇게 좋아해 본 적이 없어요
눈만 뜨면 그대가 참 보고 싶어요
오늘은 그대 내 곁에서 그저 머물러줘요
그리고 내 손잡아 주세요
꼭 안아 주세요"
62,"가사
보여줘야겠어
내가 망할 거랬던 놈들에게도
내가 잘될 거라 했던 너에게도
다 할게 최선
갈아끼워 다 새 거
My life's shining like a VVS VVS
내 삶은 빛나 VVS VVS
보란 듯 나와 TV에 Now you see me babe
내 삶은 빛나 VVS VVS
Skrt-skrt

Hey new water new vv 난 알바 째고 무대 위
Yeah go get it go get it 
가사 위 가난이 빛나지
안 가 무한리필 
살아봐야겠어 내 빌딩 Yeah
개 같던 세상의 
뒤통수 치러 왔지

더 크게 Callin’ ma name
모두 날 보고 놀래
‘미란이가 TV에’
떼버려 Tag 
사 새롭게 Yeah yeah 
타고 비행
Skrr skrr 난 올라가 
Skrr skrr 난 빛이 나
내가 뭐라 했어 Mom 
꺼내겠다고 포차

맨 밑바닥의 소녀 
엄마의 술병이 날 만들어
허기져 이를 꽉 물어
Chit chat bout me 덤벼 겁쟁이 너

VVS on ma neck 꿈 앞에
녹슨 팔찌 버려 문 앞에
구제 벨트 아직 허리에
원망하던 과거와 춤출래

인디고 카니발 Skrt-skrt
목숨은 다 꺼내놓고
자판기 밑 먼지 덕지덕지 붙은 동전까지 털어-털어
여기까지 왔지 What you know about me
내 속 이야기 털어놓으려
지갑 털어 차린 술상 위
넌 폰만 바라봤잖아
이제 그 스크린에서 날 봐라 I'ma
먹고서 Fly 너가 나갈 건 삔또지
악플들이 돈과 함께 쏟아지니
Got a nice ring to it
꼬우면 네 오빠인지 아저씨인지한테
일러바치고 한 판 더 뜨자 해 빛이
나는 Solo라니까 뭘 그렇게 재니
다 드루와 내 패기
170에 60kg도 안 되지만 국보 1호 MC
The Q's certified new king in the rap
내가 TV에 쬐끔 나왔다고
연예인 된 줄 알았다는 이미 넌 패
Bigger stacks bigger schemes
Do bigger thang
G Jus like this team I'm blessed
모든 게 끝나고 홍대로 돌아가도
모든 건 변함없겠지 Like this VVS

보여줘야겠어
내가 망할 거랬던 놈들에게도
내가 잘될 거라 했던 너에게도
다 할게 최선
갈아끼워 다 새 거
My life's shining like a VVS VVS
내 삶은 빛나 VVS VVS
보란 듯 나와 TV에 Now you see me babe
내 삶은 빛나 VVS VVS
Skrt-skrt

Ay 먼치맨 복근에 장착된 VVS 
내 행동 위험해 걸리지 심의에
자체 발광 계속해 실시해 
날 보고 배워요 EBS
흔들릴 바엔 다 흔들어 
흘려온 땀이 내 Career 
명품이 없어도 고개를 쳐들어
Keep my head up 
Keep your head up
걱정도 했었지 DAY N NIGHT 
싸워서 만드는 내일의 나 
MBA 11명 매일이 Party
난 역시나 함께일 때가 빛나 
Imma good vibe 
GV처럼 춤춰 GOOD BYE 
내 사랑아, 잘 가 웃자 
형은 미련 안 키워
OK 이제 난 노래나 불러 

전방에 1분간 함성을 발사 
기 모아 발포해 내 에너지파 
수직상승 올라가 내 텐션 도레미파 
먼치맨 YO YO I AIN't got no lie

이제 빛난대 주변에서 TRUE
어쩌면 너가 응원해서
근데 네 말대로 ""모두 특별하니까""라면
특별히 뭐가 특별해
더 묻고파도 바뀌었지
마치 내 작업실 앞 거리
짧던 이 사정거리 가사가
다 퍼진 광역시
또 걔가 부럽다는 팔로잉
NOW YOU SEE
삐까번쩍 빛나 벌써 이 밤처럼
시간 없어 바쁜 삶,
일단 먼저 필사적으로 덤벼, 던져
기회는 한순간
잡았다면 밝게 빛나 그 어떤 래퍼의 목걸이보다도
그 HEARTBEAT, 진실의 파동
넌 곧 못 볼 거니 좀 봐둬
내 손목은 비었지만
그건 실은 의도적이야
천리안 없이 난 멀리 봐
머리와 멋진 Rhyme,
시급으로 따지면 아마도 천만 원이야
힉 
야 못 돌아가 시야가 넓어서
날 부정하려면 너 보여봐라
지금 내가 네게 보여준 것처럼

보여줘야겠어
내가 망할 거랬던 놈들에게도
내가 잘될 거라 했던 너에게도
다 할게 최선
갈아끼워 다 새 거
My life's shining like a VVS VVS
내 삶은 빛나 VVS VVS
보란 듯 나와 TV에 Now you see me babe
내 삶은 빛나 VVS VVS
Skrt-skrt

역시 성공은 고난을 동반
말없이 등산을 등반하는 것처럼 I gotta move 
하늘에 계신 할매 보고 있습니까
조금 늦었습니다 
저 뱀들을 물리치느라
이겨내거라
내일이 없는 듯이 아버지 
권투선수 인생 한방이니깐
필요하다 한방이 
알겠슴돠 
동네의 육상선수 나의 어머니 
론다로우지 장애물 따윈
없는 듯이 달려라 태민 
You gotta move
Let’s go, let’s go
멜로디 없던 내 인생 
아침 해 다시 꼬기오
술 팔아 쪽 팔아 벌었던 돈
하루 사는 하루살이의 콧노래 
후룰룰루 
훈화말씀 
새 나라의 어린이 아니 뭐 그런 흔한 말씀을 또
Let’s go
요것 좀 봐라
라고 하는 선생 그거 좀 마라 
이 멋 좀 봐라
야 걱정하지마
머쉬베놈 
월이백에서 이천으로
넌 떠나 서울 to 경기 이천으로 
넌 찍어라 브이로그 
옜다 저스디스 톤으로

My life's shining like a VVS VVS
내 삶은 빛나 VVS VVS
보란 듯 나와 TV에 Now you see me babe
내 삶은 빛나 VVS VVS
Skrt-skrt

왔노라 봤노라
결국 이겨냈노라"
63,"가사
너를 만난 그 이후로
사소한 변화들에 행복해져
눈이 부시게 빛 나는 아침
너를 떠올리며 눈 뜨는 하루
식탁 위에 마주 앉아
너의 하루는 어땠는지 묻거나
나의 하루도 썩 괜찮았어
웃으며 대답해 주고 싶어
별것 아닌 일에 맘이 통할 때면
익숙해진 서로가 놀라웠어
널 사랑해
평온한 지금처럼만
영원하고 싶다고
너를 바라보다 생각했어
너를 만나 참 행복했어
나 이토록 사랑할 수 있었던 건
아직 어리고 모자란 내 맘
따뜻한 이해로 다 안아줘서 
무심한 말투에 서로 아플 때면
차가워진 사이가
견딜 수 없어 미안해
불안한 지금이라도
영원하고 싶다고
너를 바라보다 생각했어
너를 만나 참 행복했어
나 이토록 사랑할 수 있었던 건
아직 어리고 모자란 내 맘
따뜻한 이해로 다 안아줘서
뜨거웠던 여름 지나
그리워질 빗소리에
하나 둘 수줍어 또 얼굴 붉히면
생각이 많아진 너의 눈에 입 맞출 테니
우리 함께 걸어가기로 해
나를 만나 너도 행복하니
못 해준 게 더 많아서 미안해
이기적이고 불안한 내가
너에게만은 잘하고 싶었어
오랫동안 나 기다려온
완벽한 사랑을 찾은 것 같아
날 잡아줘서 힘이 돼줘서
소중한 배려로 날 안아줘서
너를 만나"
